Offset
+0.00000000e+000	 	 +0.00000000e+000	 	 

Scaling Factor
+1.00000000e-004	 	+1.00000000e-004	 	
Time (X)	 XY Position (X)	 Time (Y)	 XY Position (Y)	 
+0.00000000e+000 	+2.04429800e+002 	+0.00000000e+000 	+2.05845500e+002 	
+1.00000000e-003 	+2.04429800e+002 	+1.00000000e-003 	+2.05845500e+002 	
+2.50000000e-003 	+2.04429800e+002 	+2.50000000e-003 	+2.05845500e+002 	
+3.75000000e-003 	+2.04429800e+002 	+3.75000000e-003 	+2.05845500e+002 	
+5.00000000e-003 	+2.04429800e+002 	+5.00000000e-003 	+2.05845500e+002 	
+6.00000000e-003 	+2.04429800e+002 	+6.00000000e-003 	+2.05845500e+002 	
+7.00000000e-003 	+2.04429800e+002 	+7.00000000e-003 	+2.05845500e+002 	
+8.00000000e-003 	+2.04429800e+002 	+8.00000000e-003 	+2.05845500e+002 	
+9.00000000e-003 	+2.04429800e+002 	+9.00000000e-003 	+2.05845500e+002 	
+1.00000000e-002 	+2.04429800e+002 	+1.00000000e-002 	+2.05845500e+002 	
+1.10000000e-002 	+2.04429800e+002 	+1.10000000e-002 	+2.05845500e+002 	
+1.22500000e-002 	+2.04429800e+002 	+1.22500000e-002 	+2.05845500e+002 	
+1.32500000e-002 	+2.04429800e+002 	+1.32500000e-002 	+2.05845500e+002 	
+1.50000000e-002 	+2.04429800e+002 	+1.50000000e-002 	+2.05845500e+002 	
+1.60000000e-002 	+2.04429800e+002 	+1.60000000e-002 	+2.05845500e+002 	
+1.70000000e-002 	+2.04429800e+002 	+1.70000000e-002 	+2.05845500e+002 	
+1.80000000e-002 	+2.04429800e+002 	+1.80000000e-002 	+2.05845500e+002 	
+1.90000000e-002 	+2.04429800e+002 	+1.90000000e-002 	+2.05845500e+002 	
+2.00000000e-002 	+2.04429800e+002 	+2.00000000e-002 	+2.05845500e+002 	
+2.10000000e-002 	+2.04429800e+002 	+2.10000000e-002 	+2.05845500e+002 	
+2.22500000e-002 	+2.04429800e+002 	+2.22500000e-002 	+2.05845500e+002 	
+2.40000000e-002 	+2.04429800e+002 	+2.40000000e-002 	+2.05845500e+002 	
+2.50000000e-002 	+2.04429800e+002 	+2.50000000e-002 	+2.05845500e+002 	
+2.60000000e-002 	+2.04429800e+002 	+2.60000000e-002 	+2.05845500e+002 	
+2.70000000e-002 	+2.04429800e+002 	+2.70000000e-002 	+2.05845500e+002 	
+2.80000000e-002 	+2.04429800e+002 	+2.80000000e-002 	+2.05845500e+002 	
+2.90000000e-002 	+2.04429800e+002 	+2.90000000e-002 	+2.05845500e+002 	
+3.00000000e-002 	+2.04429800e+002 	+3.00000000e-002 	+2.05845500e+002 	
+3.10000000e-002 	+2.04429800e+002 	+3.10000000e-002 	+2.05845500e+002 	
+3.22500000e-002 	+2.04429800e+002 	+3.22500000e-002 	+2.05845500e+002 	
+3.40000000e-002 	+2.04429800e+002 	+3.40000000e-002 	+2.05845500e+002 	
+3.50000000e-002 	+2.04429800e+002 	+3.50000000e-002 	+2.05845500e+002 	
+3.60000000e-002 	+2.04429800e+002 	+3.60000000e-002 	+2.05845500e+002 	
+3.70000000e-002 	+2.04429800e+002 	+3.70000000e-002 	+2.05845500e+002 	
+3.80000000e-002 	+2.04429800e+002 	+3.80000000e-002 	+2.05845500e+002 	
+3.90000000e-002 	+2.04429800e+002 	+3.90000000e-002 	+2.05845500e+002 	
+4.00000000e-002 	+2.04429800e+002 	+4.00000000e-002 	+2.05845500e+002 	
+4.10000000e-002 	+2.04429800e+002 	+4.10000000e-002 	+2.05845500e+002 	
+4.22500000e-002 	+2.04429800e+002 	+4.22500000e-002 	+2.05845500e+002 	
+4.40000000e-002 	+2.04429800e+002 	+4.40000000e-002 	+2.05845500e+002 	
+4.50000000e-002 	+2.04429800e+002 	+4.50000000e-002 	+2.05845500e+002 	
+4.60000000e-002 	+2.04429800e+002 	+4.60000000e-002 	+2.05845500e+002 	
+4.70000000e-002 	+2.04429800e+002 	+4.70000000e-002 	+2.05845500e+002 	
+4.80000000e-002 	+2.04429800e+002 	+4.80000000e-002 	+2.05845500e+002 	
+4.90000000e-002 	+2.04429800e+002 	+4.90000000e-002 	+2.05845500e+002 	
+5.00000000e-002 	+2.04429800e+002 	+5.00000000e-002 	+2.05845500e+002 	
+5.10000000e-002 	+2.04429800e+002 	+5.10000000e-002 	+2.05845500e+002 	
+5.25000000e-002 	+2.04429800e+002 	+5.25000000e-002 	+2.05845500e+002 	
+5.40000000e-002 	+2.04429800e+002 	+5.40000000e-002 	+2.05845500e+002 	
+5.50000000e-002 	+2.04429800e+002 	+5.50000000e-002 	+2.05845500e+002 	
+5.60000000e-002 	+2.04429800e+002 	+5.60000000e-002 	+2.05845500e+002 	
